genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes,organism,short_name,group,seq_id,signalp_prediction,signalp_prob,signalp_confidence,has_signal_peptide,cs_position,psortb_localization,psortb_score,psortb_modules,psortb_n_modules,surface_exposed,score_Extracellular,score_OuterMembrane,score_Periplasmic,score_CytoplasmicMembrane,score_Cytoplasmic
GCA_030583625.1,WKZ16191.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],537,8,0,8,20,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0081,SP,0.9982,high,yes,CS pos: 36-37. Pr: 0.9681,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCA_030583625.1,WKZ16741.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],579,8,0,8,22,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0082,LIPO,0.7016,medium,yes,CS pos: 23-24. Pr: 0.6557,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCA_030583625.1,WKZ16869.1,MAG: c-type cytochrome [Candidatus Jettenia caeni],945,8,0,8,16,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0083,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010941025.1,MULTISPECIES: ammonia-forming cytochrome c nitrite reductase subunit c552 [Geobacter],533,7,1,8,17,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0084,SP,0.9985,high,yes,CS pos: 27-28. Pr: 0.9646,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000007985.2,WP_010941278.1,MULTISPECIES: cytochrome c3 family protein [Geobacter],330,8,0,8,17,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0085,SP,0.9992,high,yes,CS pos: 22-23. Pr: 0.9749,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010942841.1,cytochrome c [Geobacter sulfurreducens],456,8,0,8,17,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0086,SP,0.9992,high,yes,CS pos: 22-23. Pr: 0.9797,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010942936.1,tetrathionate reductase family octaheme c-type cytochrome [Geobacter sulfurreducens],482,8,0,8,19,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0087,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.9774,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000007985.2,WP_010943366.1,cytochrome c [Geobacter sulfurreducens],231,8,0,8,16,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0088,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9779,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000008325.1,WP_010959782.1,PKD domain-containing protein [Methylococcus capsulatus],1158,8,0,8,21,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0089,SP,0.9986,high,yes,CS pos: 33-34. Pr: 0.9726,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000008325.1,WP_017364377.1,hypothetical protein [Methylococcus capsulatus],332,8,0,8,18,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0090,SP,0.9993,high,yes,CS pos: 27-28. Pr: 0.9557,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
GCF_000008325.1,WP_081423403.1,multiheme c-type cytochrome [Methylococcus capsulatus],534,8,0,8,16,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0091,SP,0.9992,high,yes,CS pos: 25-26. Pr: 0.7304,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_000091165.1,WP_015745008.1,hydroxylamine oxidoreductase hao [Candidatus Methylomirabilis oxyfera],462,8,0,8,16,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0092,SP,0.9878,high,yes,CS pos: 40-41. Pr: 0.9474,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_000091165.1,WP_044595962.1,cytochrome C [Candidatus Methylomirabilis oxyfera],408,8,0,8,16,,,,,,Candidatus Methylomirabilis oxyfera,Ca. M. oxyfera,n-DAMO bacterium (NC10),seq0093,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000146165.2,WP_011073841.1,tetrathionate reductase family octaheme c-type cytochrome [Shewanella oneidensis],461,8,0,8,17,,,,,,Shewanella oneidensis MR-1,S. oneidensis,Positive control (EET),seq0094,SP,0.9992,high,yes,CS pos: 18-19. Pr: 0.9785,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000178815.2,WP_003612355.1,MULTISPECIES: multiheme c-type cytochrome [Methylosinus],650,8,0,8,17,,,,,,Methylosinus trichosporium OB3b,M. trichosporium,Type II MOB (Alphaproteobacteria),seq0095,SP,0.9992,high,yes,CS pos: 20-21. Pr: 0.9556,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000214275.2,WP_245549370.1,multiheme c-type cytochrome [Methylomicrobium album],553,8,0,8,16,,,,,,Methylomicrobium album BG8,M. album,Type I MOB (Gammaproteobacteria),seq0096,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.5385,Periplasmic,10.00,PPSVM;SCL-BLAST,2,no,0.00,0.00,10.00,0.00,0.00
GCF_000372865.1,WP_026223604.1,multiheme c-type cytochrome [Methylosarcina fibrata],549,8,0,8,16,,,,,,Methylosarcina fibrata AML-C10,M. fibrata,Type I MOB (Gammaproteobacteria),seq0097,SP,0.9944,high,yes,CS pos: 25-26. Pr: 0.9563,Periplasmic,10.00,PPSVM;SCL-BLAST,2,no,0.00,0.00,10.00,0.00,0.00
GCF_000372865.1,WP_157385900.1,multiheme c-type cytochrome [Methylosarcina fibrata],675,8,0,8,16,,,,,,Methylosarcina fibrata AML-C10,M. fibrata,Type I MOB (Gammaproteobacteria),seq0098,OTHER,0.9999,high,no,,not_submitted,,,,no,,,,,
GCF_000427445.1,WP_051335722.1,cytochrome c3 family protein [Methylocapsa acidiphila],788,8,0,8,16,,,,,,Methylocapsa acidiphila B2,M. acidiphila,Type II MOB (Alphaproteobacteria),seq0099,SP,0.9471,high,yes,CS pos: 37-38. Pr: 0.8899,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000496735.2,WP_023493442.1,multiheme c-type cytochrome [Methyloglobulus morosus],539,8,0,8,18,,,,,,Methyloglobulus morosus KoM1,M. morosus,Type I MOB (Gammaproteobacteria),seq0100,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9784,Periplasmic,9.44,SCL-BLAST,1,no,0.11,0.06,9.44,0.06,0.33
GCF_000685155.1,WP_048088257.1,multiheme c-type cytochrome [Candidatus Methanoperedens nitratireducens],427,8,0,8,16,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0101,SP,0.9991,high,yes,CS pos: 26-27. Pr: 0.9748,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000685155.1,WP_048089088.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitratireducens],503,8,0,8,16,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0102,SP,0.9990,high,yes,CS pos: 21-22. Pr: 0.9787,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000685155.1,WP_048092719.1,carboxypeptidase regulatory-like domain-containing protein [Candidatus Methanoperedens nitratireducens],3539,8,0,8,16,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0103,SP,0.9992,high,yes,CS pos: 19-20. Pr: 0.9807,Unknown,,CMSVM;ECSVM;OMSVM,3,no,6.04,3.60,0.20,0.16,0.00
GCF_000685155.1,WP_048093919.1,multiheme c-type cytochrome [Candidatus Methanoperedens nitratireducens],443,8,0,8,16,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0104,SP,0.9992,high,yes,CS pos: 24-25. Pr: 0.9751,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_000786775.1,WP_034401884.1,hypothetical protein [Candidatus Scalindua brodae],951,8,0,8,16,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0105,OTHER,0.9366,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034403630.1,hypothetical protein [Candidatus Scalindua brodae],276,8,0,8,16,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0106,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034404593.1,hypothetical protein [Candidatus Scalindua brodae],540,8,0,8,20,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0107,SP,0.7368,medium,yes,CS pos: 48-49. Pr: 0.6375,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000786775.1,WP_034406467.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",543,8,0,8,16,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0108,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000786775.1,WP_034410007.1,hypothetical protein [Candidatus Scalindua brodae],523,8,0,8,17,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0109,SP,0.9988,high,yes,CS pos: 30-31. Pr: 0.9715,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000786775.1,WP_034410018.1,hypothetical protein [Candidatus Scalindua brodae],585,8,0,8,16,,,,,,Candidatus Scalindua brodae,Ca. S. brodae,Anammox,seq0110,SP,0.9991,high,yes,CS pos: 28-29. Pr: 0.9761,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000949635.1,WP_052561403.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],536,8,0,8,17,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0111,SP,0.9989,high,yes,CS pos: 21-22. Pr: 0.9780,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000949635.1,WP_052562057.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],580,8,0,8,16,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0112,SP,0.9991,high,yes,CS pos: 26-27. Pr: 0.9700,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_000949635.1,WP_052562357.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],483,8,0,8,16,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0113,SP,0.9945,high,yes,CS pos: 23-24. Pr: 0.9510,Periplasmic,9.44,SCL-BLAST,1,no,0.11,0.06,9.44,0.06,0.33
GCF_000949635.1,WP_052563021.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],549,8,0,8,20,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0114,LIPO,1.0000,high,yes,CS pos: 18-19. Pr: 0.9875,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000949635.1,WP_052564011.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],529,8,0,8,18,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0115,SP,0.8489,medium,yes,CS pos: 32-33. Pr: 0.8002,Periplasmic,10.00,PPSVM;SCL-BLAST,2,no,0.00,0.00,10.00,0.00,0.00
GCF_000949635.1,WP_052564200.1,multiheme c-type cytochrome [Candidatus Brocadia sinica],537,8,0,8,20,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0116,LIPO,0.6565,low,yes,CS pos: 26-27. Pr: 0.6198,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000949635.1,WP_052564297.1,cytochrome c3 family protein [Candidatus Brocadia sinica],621,8,0,8,21,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0117,OTHER,0.6048,low,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_052564507.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],875,8,0,8,19,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0118,SP,0.9990,high,yes,CS pos: 25-26. Pr: 0.9643,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_000949635.1,WP_052564936.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],453,8,0,8,22,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0119,LIPO,0.9996,high,yes,CS pos: 30-31. Pr: 0.9946,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_000949635.1,WP_082059321.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],496,8,0,8,18,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0120,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9742,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_000949635.1,WP_157842478.1,MULTISPECIES: c-type cytochrome [Candidatus Brocadia],954,8,0,8,16,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0121,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000949635.1,WP_162183211.1,MULTISPECIES: cytochrome c3 family protein [Candidatus Brocadia],616,8,0,8,18,,,,,,Candidatus Brocadia sinica,Ca. B. sinica,Anammox,seq0122,SP,0.7542,medium,yes,CS pos: 26-27. Pr: 0.7261,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000968535.2,WP_014148309.1,multiheme c-type cytochrome [Methylotuvimicrobium alcaliphilum],551,8,0,8,16,,,,,,Methylotuvimicrobium alcaliphilum 20Z,Mt. alcaliphilum,Type I MOB (Gammaproteobacteria),seq0123,SP,0.9971,high,yes,CS pos: 27-28. Pr: 0.9655,Periplasmic,10.00,PPSVM;SCL-BLAST;Signal,3,no,0.00,0.00,10.00,0.00,0.00
GCF_001273775.1,WP_053378997.1,multiheme c-type cytochrome [Nitrospira moscoviensis],474,8,0,8,17,,,,,,Nitrospira moscoviensis,N. moscoviensis,Ecological control,seq0124,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_070065825.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],535,8,0,8,20,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0125,SP,0.5033,low,yes,CS pos: 33-34. Pr: 0.4779,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_001753675.2,WP_070066050.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],552,8,0,8,18,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0126,SP,0.9992,high,yes,CS pos: 29-30. Pr: 0.9095,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_001753675.2,WP_070066632.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],483,8,0,8,18,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0127,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.9745,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_001753675.2,WP_070066811.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],536,8,0,8,17,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0128,SP,0.9988,high,yes,CS pos: 21-22. Pr: 0.9771,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_001753675.2,WP_070067189.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],549,8,0,8,20,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0129,LIPO,0.9990,high,yes,CS pos: 18-19. Pr: 0.9706,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_001753675.2,WP_070067420.1,c-type cytochrome [Candidatus Brocadia sapporoensis],946,8,0,8,16,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0130,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_070067859.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],581,8,0,8,16,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0131,SP,0.9990,high,yes,CS pos: 26-27. Pr: 0.9691,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_001753675.2,WP_070067919.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],542,8,0,8,18,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0132,LIPO,0.9997,high,yes,CS pos: 25-26. Pr: 0.9916,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_001753675.2,WP_080324769.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],511,8,0,8,21,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0133,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_001753675.2,WP_080324860.1,tetratricopeptide repeat protein [Candidatus Brocadia sapporoensis],779,8,0,8,21,,,,,,Candidatus Brocadia sapporoensis,Ca. B. sapporoensis,Anammox,seq0134,LIPO,1.0000,high,yes,CS pos: 16-17. Pr: 0.9937,Cytoplasmic,8.96,CytoSVM,1,no,0.26,0.01,0.26,0.51,8.96
GCF_011066545.1,WP_099325351.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],545,8,0,8,16,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0135,SP,0.9987,high,yes,CS pos: 31-32. Pr: 0.8451,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_099325788.1,MULTISPECIES: hydroxylamine oxidase [Candidatus Kuenenia],536,8,0,8,19,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0136,LIPO,0.5654,low,yes,CS pos: 26-27. Pr: 0.5253,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_011066545.1,WP_099326403.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],499,8,0,8,20,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0137,SP,0.9990,high,yes,CS pos: 23-24. Pr: 0.9779,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_099326442.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],852,8,0,8,23,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0138,SP,0.9987,high,yes,CS pos: 27-28. Pr: 0.9711,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_099326726.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],584,8,0,8,17,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0139,SP,0.9989,high,yes,CS pos: 29-30. Pr: 0.9680,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_164994417.1,multiheme c-type cytochrome [Candidatus Kuenenia stuttgartensis],554,8,0,8,18,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0140,SP,0.9986,high,yes,CS pos: 26-27. Pr: 0.9772,Periplasmic,9.99,CytoSVM;PPSVM;SCL-BLAST,3,no,0.00,0.00,9.99,0.00,0.01
GCF_011066545.1,WP_164994550.1,c-type cytochrome [Candidatus Kuenenia stuttgartensis],946,8,0,8,17,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0141,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_011066545.1,WP_164995292.1,multiheme c-type cytochrome [Candidatus Kuenenia stuttgartensis],433,8,0,8,20,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0142,LIPO,0.8034,medium,yes,CS pos: 28-29. Pr: 0.7646,Unknown,,CytoSVM;SCL-BLAST,2,no,0.05,0.00,4.48,0.06,5.41
GCF_011066545.1,WP_230405693.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],591,8,0,8,19,,,,,,Candidatus Kuenenia stuttgartiensis,Ca. K. stuttgartiensis,Anammox,seq0143,OTHER,0.5542,low,no,,not_submitted,,,,no,,,,,
GCF_027571405.1,WP_016919490.1,multiheme c-type cytochrome [Methylocystis parvus],569,8,0,8,17,,,,,,Methylocystis parvus OBBP,M. parvus,Type II MOB (Alphaproteobacteria),seq0144,SP,0.9988,high,yes,CS pos: 32-33. Pr: 0.9689,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_027571405.1,WP_154419847.1,tetratricopeptide repeat protein [Methylocystis parvus],763,8,0,8,17,,,,,,Methylocystis parvus OBBP,M. parvus,Type II MOB (Alphaproteobacteria),seq0145,SP,0.9992,high,yes,CS pos: 23-24. Pr: 0.9035,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_054182965.1,WP_011111571.1,MULTISPECIES: hydroxylamine oxidoreductase [Nitrosomonas],570,8,0,8,18,,,,,,Nitrosomonas europaea,N. europaea,Methodological control,seq0146,SP,0.9589,high,yes,CS pos: 24-25. Pr: 0.9278,Periplasmic,10.00,PPSVM;SCL-BLAST;SCL-BLASTe;Signal,4,no,0.00,0.00,10.00,0.00,0.00
GCF_949769195.1,WP_036269067.1,multiheme c-type cytochrome [Methylocaldum szegediense],539,8,0,8,16,,,,,,Methylocaldum szegediense,M. szegediense,Type I MOB (Gammaproteobacteria),seq0147,SP,0.9992,high,yes,CS pos: 24-25. Pr: 0.9777,Periplasmic,9.76,SCL-BLAST;Signal,2,no,0.11,0.06,9.76,0.06,0.00
GCF_949769195.1,WP_051331836.1,tetratricopeptide repeat protein [Methylocaldum szegediense],759,8,0,8,17,,,,,,Methylocaldum szegediense,M. szegediense,Type I MOB (Gammaproteobacteria),seq0148,SP,0.9988,high,yes,CS pos: 25-26. Pr: 0.9451,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCA_030583625.1,WKZ14896.1,MAG: hypothetical protein QY317_13435 [Candidatus Jettenia caeni],258,0,7,7,24,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0149,OTHER,0.9987,high,no,,not_submitted,,,,no,,,,,
GCA_030583625.1,WKZ16910.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],568,7,0,7,22,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0150,LIPO,0.6283,low,yes,CS pos: 15-16. Pr: 0.5971,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCA_030583625.1,WKZ17374.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],568,7,0,7,22,,,,,,Candidatus Jettenia caeni,Ca. J. caeni,Anammox,seq0151,LIPO,0.6993,low,yes,CS pos: 15-16. Pr: 0.6651,Periplasmic,9.76,CytoSVM;SCL-BLAST;Signal,3,no,0.11,0.00,9.76,0.12,0.00
GCF_000007985.2,WP_010941257.1,cytochrome c3 family protein [Geobacter sulfurreducens],349,7,0,7,14,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0152,SP,0.9991,high,yes,CS pos: 23-24. Pr: 0.9783,Periplasmic,9.84,PPSVM;Signal,2,no,0.14,0.01,9.84,0.01,0.00
GCF_000007985.2,WP_010941988.1,IPT/TIG domain-containing protein [Geobacter sulfurreducens],479,7,0,7,16,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0153,OTHER,0.8120,medium,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010942430.1,multiheme c-type cytochrome [Geobacter sulfurreducens],363,7,0,7,17,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0154,SP,0.9992,high,yes,CS pos: 20-21. Pr: 0.9782,Unknown,,CytoSVM;Signal,2,no,2.50,0.10,2.50,4.90,0.00
GCF_000007985.2,WP_010942718.1,IPT/TIG domain-containing protein [Geobacter sulfurreducens],473,7,0,7,16,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0155,SP,0.9990,high,yes,CS pos: 24-25. Pr: 0.9563,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000007985.2,WP_010943515.1,cytochrome c [Geobacter sulfurreducens],353,7,0,7,16,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0156,SP,0.9992,high,yes,CS pos: 20-21. Pr: 0.9767,Extracellular,9.65,ECSVM;Signal,2,yes,9.65,0.23,0.11,0.01,0.00
GCF_000007985.2,WP_010943845.1,PKD domain-containing protein [Geobacter sulfurreducens],991,7,0,7,19,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0157,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_010943849.1,PKD domain-containing protein [Geobacter sulfurreducens],1063,7,0,7,16,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0158,OTHER,0.9999,high,no,,not_submitted,,,,no,,,,,
GCF_000008325.1,WP_010959785.1,hypothetical protein [Methylococcus capsulatus],916,7,0,7,18,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0159,SP,0.9941,high,yes,CS pos: 27-28. Pr: 0.9577,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
