genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes
GCA_054182965.1,MGY8630299.1,hydroxylamine oxidoreductase [Nitrosomonas europaea],570,8,0,8,18,,,,,
GCA_054182965.1,MGY8630603.1,hydroxylamine oxidoreductase [Nitrosomonas europaea],570,8,0,8,18,,,,,
GCA_949769195.1,CAI8895962.1,conserved exported protein of unknown function [Methylocaldum szegediense],759,8,0,8,17,,,,,
GCA_949769195.1,CAI8898772.1,Hydroxylamine oxidoreductase [Methylocaldum szegediense],539,8,0,8,16,,,,,
GCF_000007985.2,WP_010941025.1,MULTISPECIES: ammonia-forming cytochrome c nitrite reductase subunit c552 [Geobacter],533,7,1,8,17,,,,,
GCF_000007985.2,WP_010941278.1,MULTISPECIES: cytochrome c3 family protein [Geobacter],330,8,0,8,17,,,,,
GCF_000007985.2,WP_010942841.1,cytochrome c [Geobacter sulfurreducens],456,8,0,8,17,,,,,
GCF_000007985.2,WP_010942936.1,tetrathionate reductase family octaheme c-type cytochrome [Geobacter sulfurreducens],482,8,0,8,19,,,,,
GCF_000007985.2,WP_010943366.1,cytochrome c [Geobacter sulfurreducens],231,8,0,8,16,,,,,
GCF_000008325.1,WP_010959782.1,PKD domain-containing protein [Methylococcus capsulatus],1158,8,0,8,21,,,,,
GCF_000008325.1,WP_017364377.1,hypothetical protein [Methylococcus capsulatus],332,8,0,8,18,,,,,
GCF_000008325.1,WP_081423403.1,multiheme c-type cytochrome [Methylococcus capsulatus],534,8,0,8,16,,,,,
GCF_000091165.1,WP_015745008.1,hydroxylamine oxidoreductase hao [Candidatus Methylomirabilis oxyfera],462,8,0,8,16,,,,,
GCF_000091165.1,WP_044595962.1,cytochrome C [Candidatus Methylomirabilis oxyfera],408,8,0,8,16,,,,,
GCF_000146165.2,WP_011073841.1,tetrathionate reductase family octaheme c-type cytochrome [Shewanella oneidensis],461,8,0,8,17,,,,,
GCF_000178815.2,WP_003612355.1,MULTISPECIES: multiheme c-type cytochrome [Methylosinus],650,8,0,8,17,,,,,
GCF_000214275.2,WP_245549370.1,multiheme c-type cytochrome [Methylomicrobium album],553,8,0,8,16,,,,,
GCF_000372865.1,WP_026223604.1,multiheme c-type cytochrome [Methylosarcina fibrata],549,8,0,8,16,,,,,
GCF_000372865.1,WP_157385900.1,multiheme c-type cytochrome [Methylosarcina fibrata],675,8,0,8,16,,,,,
GCF_000427445.1,WP_051335722.1,cytochrome c3 family protein [Methylocapsa acidiphila],788,8,0,8,16,,,,,
GCF_000496735.2,WP_023493442.1,multiheme c-type cytochrome [Methyloglobulus morosus],539,8,0,8,18,,,,,
GCF_000685155.1,WP_048088257.1,multiheme c-type cytochrome [Candidatus Methanoperedens nitratireducens],427,8,0,8,16,,,,,
GCF_000685155.1,WP_048089088.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitratireducens],503,8,0,8,16,,,,,
GCF_000685155.1,WP_048092719.1,carboxypeptidase regulatory-like domain-containing protein [Candidatus Methanoperedens nitratireducens],3539,8,0,8,16,,,,,
GCF_000685155.1,WP_048093919.1,multiheme c-type cytochrome [Candidatus Methanoperedens nitratireducens],443,8,0,8,16,,,,,
GCF_000786775.1,WP_034401884.1,hypothetical protein [Candidatus Scalindua brodae],951,8,0,8,16,,,,,
GCF_000786775.1,WP_034403630.1,hypothetical protein [Candidatus Scalindua brodae],276,8,0,8,16,,,,,
GCF_000786775.1,WP_034404593.1,hypothetical protein [Candidatus Scalindua brodae],540,8,0,8,20,,,,,
GCF_000786775.1,WP_034406467.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",543,8,0,8,16,,,,,
GCF_000786775.1,WP_034410007.1,hypothetical protein [Candidatus Scalindua brodae],523,8,0,8,17,,,,,
GCF_000786775.1,WP_034410018.1,hypothetical protein [Candidatus Scalindua brodae],585,8,0,8,16,,,,,
GCF_000949635.1,WP_052561403.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],536,8,0,8,17,,,,,
GCF_000949635.1,WP_052562057.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],580,8,0,8,16,,,,,
GCF_000949635.1,WP_052562357.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],483,8,0,8,16,,,,,
GCF_000949635.1,WP_052563021.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],549,8,0,8,20,,,,,
GCF_000949635.1,WP_052564011.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],529,8,0,8,18,,,,,
GCF_000949635.1,WP_052564200.1,multiheme c-type cytochrome [Candidatus Brocadia sinica],537,8,0,8,20,,,,,
GCF_000949635.1,WP_052564297.1,cytochrome c3 family protein [Candidatus Brocadia sinica],621,8,0,8,21,,,,,
GCF_000949635.1,WP_052564507.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],875,8,0,8,19,,,,,
GCF_000949635.1,WP_052564936.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],453,8,0,8,22,,,,,
GCF_000949635.1,WP_082059321.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],496,8,0,8,18,,,,,
GCF_000949635.1,WP_157842478.1,MULTISPECIES: c-type cytochrome [Candidatus Brocadia],954,8,0,8,16,,,,,
GCF_000949635.1,WP_162183211.1,MULTISPECIES: cytochrome c3 family protein [Candidatus Brocadia],616,8,0,8,18,,,,,
GCF_000968535.2,WP_014148309.1,multiheme c-type cytochrome [Methylotuvimicrobium alcaliphilum],551,8,0,8,16,,,,,
GCF_001273775.1,WP_053378997.1,multiheme c-type cytochrome [Nitrospira moscoviensis],474,8,0,8,17,,,,,
GCF_001753675.2,WP_070065825.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],535,8,0,8,20,,,,,
GCF_001753675.2,WP_070066050.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],552,8,0,8,18,,,,,
GCF_001753675.2,WP_070066632.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],483,8,0,8,18,,,,,
GCF_001753675.2,WP_070066811.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],536,8,0,8,17,,,,,
GCF_001753675.2,WP_070067189.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],549,8,0,8,20,,,,,
GCF_001753675.2,WP_070067420.1,c-type cytochrome [Candidatus Brocadia sapporoensis],946,8,0,8,16,,,,,
GCF_001753675.2,WP_070067859.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],581,8,0,8,16,,,,,
GCF_001753675.2,WP_070067919.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],542,8,0,8,18,,,,,
GCF_001753675.2,WP_080324769.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],511,8,0,8,21,,,,,
GCF_001753675.2,WP_080324860.1,tetratricopeptide repeat protein [Candidatus Brocadia sapporoensis],779,8,0,8,21,,,,,
GCF_011066545.1,WP_099325351.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],545,8,0,8,16,,,,,
GCF_011066545.1,WP_099325788.1,MULTISPECIES: hydroxylamine oxidase [Candidatus Kuenenia],536,8,0,8,19,,,,,
GCF_011066545.1,WP_099326403.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],499,8,0,8,20,,,,,
GCF_011066545.1,WP_099326442.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],852,8,0,8,23,,,,,
GCF_011066545.1,WP_099326726.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],584,8,0,8,17,,,,,
GCF_011066545.1,WP_164994417.1,multiheme c-type cytochrome [Candidatus Kuenenia stuttgartensis],554,8,0,8,18,,,,,
GCF_011066545.1,WP_164994550.1,c-type cytochrome [Candidatus Kuenenia stuttgartensis],946,8,0,8,17,,,,,
GCF_011066545.1,WP_164995292.1,multiheme c-type cytochrome [Candidatus Kuenenia stuttgartensis],433,8,0,8,20,,,,,
GCF_011066545.1,WP_230405693.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],591,8,0,8,19,,,,,
GCF_027571405.1,WP_016919490.1,multiheme c-type cytochrome [Methylocystis parvus],569,8,0,8,17,,,,,
GCF_027571405.1,WP_154419847.1,tetratricopeptide repeat protein [Methylocystis parvus],763,8,0,8,17,,,,,
GCF_054182965.1,WP_011111571.1,MULTISPECIES: hydroxylamine oxidoreductase [Nitrosomonas],570,8,0,8,18,,,,,
GCF_949769195.1,WP_036269067.1,multiheme c-type cytochrome [Methylocaldum szegediense],539,8,0,8,16,,,,,
GCF_949769195.1,WP_051331836.1,tetratricopeptide repeat protein [Methylocaldum szegediense],759,8,0,8,17,,,,,
GCA_000007985.2,AAR33925.1,cytochrome c [Geobacter sulfurreducens PCA],349,7,0,7,14,,,,,
GCA_000007985.2,AAR34710.1,cytochrome c [Geobacter sulfurreducens PCA],479,7,0,7,16,,,,,
GCA_000007985.2,AAR35163.1,cytochrome c [Geobacter sulfurreducens PCA],363,7,0,7,17,,,,,
GCA_000007985.2,AAR35452.1,cytochrome c [Geobacter sulfurreducens PCA],473,7,0,7,16,,,,,
GCA_000007985.2,AAR36619.1,cytochrome c [Geobacter sulfurreducens PCA],991,7,0,7,19,,,,,
GCA_000007985.2,AAR36624.2,cytochrome c [Geobacter sulfurreducens PCA],1063,7,0,7,16,,,,,
GCA_000007985.2,AFP20507.1,cytochrome c [Geobacter sulfurreducens PCA],353,7,0,7,16,,,,,
GCA_000008325.1,AAU90405.1,hypothetical protein MCA0428 [Methylococcus capsulatus str. Bath],154,7,0,7,14,,,,,
GCA_000008325.1,AAU90407.1,cytochrome c family protein [Methylococcus capsulatus str. Bath],916,7,0,7,18,,,,,
GCA_000008325.1,AAU90409.1,cytochrome c family protein [Methylococcus capsulatus str. Bath],917,7,0,7,19,,,,,
GCA_000019665.1,ACD83654.1,Conserved hypothetical protein [Methylacidiphilum infernorum V4],798,7,0,7,18,,,,,
GCA_000146165.2,AAN53560.2,sulfite reductase octaheme cytochrome c SirA [Shewanella oneidensis MR-1],708,7,0,7,20,,,,,
GCA_000297415.1,CCG91952.1,conserved exported hypothetical protein [Methylacidiphilum fumariolicum SolV],803,7,0,7,18,,,,,
GCA_000685155.1,KCZ70604.1,class III cytochrome C family protein [Candidatus Methanoperedens nitroreducens],277,7,0,7,15,,,,,
GCA_000786775.1,KHE90393.1,MAG: hydroxylamine oxidoreductase [Candidatus Scalindua brodae],351,7,0,7,15,,,,,
GCA_000786775.1,KHE91265.1,MAG: hydroxylamine oxidoreductase (hao) [Candidatus Scalindua brodae],565,7,0,7,25,,,,,
GCA_000786775.1,KHE92657.1,MAG: hydroxylamine oxidoreductase (hao) [Candidatus Scalindua brodae],581,7,0,7,24,,,,,
GCA_000786775.1,KHE93468.1,MAG: hydroxylamine oxidoreductase [Candidatus Scalindua brodae],453,7,0,7,18,,,,,
GCA_000949635.1,GAN33811.1,hydrazine-oxidizing enzyme [Candidatus Brocadia sinica JPN1],581,7,0,7,24,,,,,
GCA_000949635.1,GAN34144.1,hydroxylamine oxydoreductase [Candidatus Brocadia sinica JPN1],581,7,0,7,23,,,,,
GCA_011066545.1,QII10561.1,hydrazine dehydrogenase [Candidatus Kuenenia stuttgartiensis],577,7,0,7,22,,,,,
GCA_011066545.1,QII14076.1,hydrazine dehydrogenase [Candidatus Kuenenia stuttgartiensis],642,7,0,7,24,,,,,
GCA_030583625.1,WKZ14896.1,MAG: hypothetical protein QY317_13435 [Candidatus Jettenia caeni],258,0,7,7,24,,,,,
GCA_030583625.1,WKZ16910.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],568,7,0,7,22,,,,,
GCA_030583625.1,WKZ17374.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],568,7,0,7,22,,,,,
GCF_000007985.2,WP_010941257.1,cytochrome c3 family protein [Geobacter sulfurreducens],349,7,0,7,14,,,,,
GCF_000007985.2,WP_010941988.1,IPT/TIG domain-containing protein [Geobacter sulfurreducens],479,7,0,7,16,,,,,
GCF_000007985.2,WP_010942430.1,multiheme c-type cytochrome [Geobacter sulfurreducens],363,7,0,7,17,,,,,
GCF_000007985.2,WP_010942718.1,IPT/TIG domain-containing protein [Geobacter sulfurreducens],473,7,0,7,16,,,,,
GCF_000007985.2,WP_010943515.1,cytochrome c [Geobacter sulfurreducens],353,7,0,7,16,,,,,
GCF_000007985.2,WP_010943845.1,PKD domain-containing protein [Geobacter sulfurreducens],991,7,0,7,19,,,,,
GCF_000007985.2,WP_010943849.1,PKD domain-containing protein [Geobacter sulfurreducens],1063,7,0,7,16,,,,,
GCF_000008325.1,WP_010959785.1,hypothetical protein [Methylococcus capsulatus],916,7,0,7,18,,,,,
GCF_000008325.1,WP_041360671.1,hypothetical protein [Methylococcus capsulatus],203,7,0,7,14,,,,,
GCF_000008325.1,WP_228370253.1,cytochrome C [Methylococcus capsulatus],923,7,0,7,19,,,,,
GCF_000019665.1,WP_012463936.1,cytochrome c3 family protein [Candidatus Methylacidiphilum infernorum],798,7,0,7,18,,,,,
GCF_000146165.2,WP_011070829.1,dissimilatory sulfite reductase SirA [Shewanella oneidensis],708,7,0,7,20,,,,,
GCF_000297415.1,WP_009059285.1,hypothetical protein [Candidatus Methylacidiphilum fumarolicum],803,7,0,7,18,,,,,
GCF_000685155.1,WP_048092326.1,cytochrome c3 family protein [Candidatus Methanoperedens nitratireducens],277,7,0,7,15,,,,,
GCF_000786775.1,WP_034402740.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",404,7,0,7,17,,,,,
GCF_000786775.1,WP_034403701.1,"hypothetical protein, partial [Candidatus Scalindua brodae]",471,7,0,7,14,,,,,
GCF_000786775.1,WP_034404559.1,hypothetical protein [Candidatus Scalindua brodae],581,7,0,7,24,,,,,
GCF_000786775.1,WP_034408248.1,hypothetical protein [Candidatus Scalindua brodae],565,7,0,7,25,,,,,
GCF_000786775.1,WP_034410536.1,hypothetical protein [Candidatus Scalindua brodae],351,7,0,7,15,,,,,
GCF_000949635.1,WP_052563890.1,MULTISPECIES: hydrazine dehydrogenase [Candidatus Brocadia],581,7,0,7,24,,,,,
GCF_000949635.1,WP_052564202.1,hydrazine dehydrogenase [Candidatus Brocadia sinica],581,7,0,7,23,,,,,
GCF_011066545.1,WP_099324501.1,MULTISPECIES: hydrazine dehydrogenase [Candidatus Kuenenia],577,7,0,7,22,,,,,
GCF_011066545.1,WP_164995586.1,hydrazine dehydrogenase [Candidatus Kuenenia stuttgartensis],582,7,0,7,22,,,,,
GCA_000007985.2,AAR34031.1,cytochrome c [Geobacter sulfurreducens PCA],427,6,0,6,14,,,,,
GCA_000007985.2,AAR35670.1,cytochrome c [Geobacter sulfurreducens PCA],179,6,0,6,13,,,,,
GCA_000007985.2,AAR35874.1,cytochrome c [Geobacter sulfurreducens PCA],437,6,0,6,12,,,,,
GCA_000007985.2,AAR35876.1,cytochrome c [Geobacter sulfurreducens PCA],430,6,0,6,12,,,,,
GCA_000007985.2,AAR35877.1,cytochrome c [Geobacter sulfurreducens PCA],432,6,0,6,12,,,,,
GCA_000007985.2,AAR36014.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],229,6,0,6,13,,,,,
GCA_000007985.2,AAR36202.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],189,6,0,6,13,,,,,
GCA_000007985.2,AAR36650.1,cytochrome c [Geobacter sulfurreducens PCA],507,6,0,6,14,,,,,
GCA_000496735.2,ESS67831.1,cytochrome c family protein [Methyloglobulus morosus KoM1],702,6,0,6,13,,,,,
GCA_000496735.2,ESS71315.1,hypothetical protein MGMO_108c00010 [Methyloglobulus morosus KoM1],702,6,0,6,12,,,,,
GCA_000685155.1,KCZ70803.1,hypothetical protein ANME2D_02828 [Candidatus Methanoperedens nitroreducens],232,6,0,6,13,,,,,
GCA_000685155.1,KCZ73276.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",318,6,0,6,16,,,,,
GCA_000685155.1,KCZ73598.1,hypothetical protein ANME2D_00669 [Candidatus Methanoperedens nitroreducens],179,6,0,6,12,,,,,
GCA_000786775.1,KHE90511.1,MAG: putative formate dehydrogenase cytochrome b subunit [Candidatus Scalindua brodae],335,6,0,6,18,,,,,
GCA_000949635.1,GAN31618.1,hypothetical protein BROSI_A0119 [Candidatus Brocadia sinica JPN1],400,6,0,6,14,,,,,
GCA_000949635.1,GAN31619.1,hypothetical protein BROSI_A0120 [Candidatus Brocadia sinica JPN1],375,6,0,6,14,,,,,
GCA_000949635.1,GAN31998.1,cytochrome c family protein [Candidatus Brocadia sinica JPN1],363,6,0,6,12,,,,,
GCA_000949635.1,GAN34134.1,cytochrome b subunit of formate dehydrogenase [Candidatus Brocadia sinica JPN1],350,6,0,6,16,,,,,
GCA_001273775.1,ALA60066.1,putative Cytochrome c-type protein [Nitrospira moscoviensis],236,6,0,6,12,,,,,
GCA_001753675.2,OQD44928.1,hypothetical protein BIY37_10920 [Candidatus Brocadia sapporoensis],363,6,0,6,12,,,,,
GCA_001753675.2,OQD46307.1,hypothetical protein BIY37_04260 [Candidatus Brocadia sapporoensis],350,6,0,6,16,,,,,
GCA_011066545.1,QII12194.1,heptaheme protein [Candidatus Kuenenia stuttgartiensis],347,6,0,6,17,,,,,
GCA_011066545.1,QII12343.1,cytochrome c family protein [Candidatus Kuenenia stuttgartiensis],363,6,0,6,13,,,,,
GCA_011066545.1,QII12531.1,hypothetical protein KsCSTR_31520 [Candidatus Kuenenia stuttgartiensis],183,0,6,6,16,,,,,
GCA_030583625.1,WKZ15076.1,MAG: hypothetical protein QY317_14350 [Candidatus Jettenia caeni],348,6,0,6,17,,,,,
GCA_030583625.1,WKZ15227.1,MAG: multiheme c-type cytochrome [Candidatus Jettenia caeni],344,6,0,6,12,,,,,
GCF_000007985.2,WP_010941362.1,cytochrome c [Geobacter sulfurreducens],427,6,0,6,14,,,,,
GCF_000007985.2,WP_010942931.1,cytochrome c3 family protein [Geobacter sulfurreducens],179,6,0,6,13,,,,,
GCF_000007985.2,WP_010943138.1,cytochrome c [Geobacter sulfurreducens],437,6,0,6,12,,,,,
GCF_000007985.2,WP_010943140.1,cytochrome c [Geobacter sulfurreducens],430,6,0,6,12,,,,,
GCF_000007985.2,WP_010943141.1,c-type cytochrome OmcS [Geobacter sulfurreducens],432,6,0,6,12,,,,,
GCF_000007985.2,WP_010943280.1,cytochrome c [Geobacter sulfurreducens],229,6,0,6,13,,,,,
GCF_000007985.2,WP_010943435.1,cytochrome c3 family protein [Geobacter sulfurreducens],189,6,0,6,13,,,,,
GCF_000007985.2,WP_010943871.1,cytochrome c3 family protein [Geobacter sulfurreducens],507,6,0,6,14,,,,,
GCF_000008325.1,WP_041360673.1,hypothetical protein [Methylococcus capsulatus],293,6,0,6,12,,,,,
GCF_000008325.1,WP_228370255.1,assimilatory sulfite reductase (NADPH) flavoprotein subunit [Methylococcus capsulatus],972,6,0,6,27,,,,,
GCF_000091165.1,WP_044595711.1,"hypothetical protein, partial [Candidatus Methylomirabilis oxyfera]",500,6,0,6,13,,,,,
GCF_000496735.2,WP_036308105.1,c-type cytochrome [Methyloglobulus morosus],698,6,0,6,12,,,,,
GCF_000496735.2,WP_161808515.1,c-type cytochrome [Methyloglobulus morosus],652,6,0,6,13,,,,,
GCF_000685155.1,WP_048092707.1,hypothetical protein [Candidatus Methanoperedens nitratireducens],199,6,0,6,12,,,,,
GCF_000685155.1,WP_157833896.1,ammonia-forming cytochrome c nitrite reductase subunit c552 [Candidatus Methanoperedens nitratireducens],301,6,0,6,14,,,,,
GCF_000685155.1,WP_157833929.1,molecular chaperone DnaJ [Candidatus Methanoperedens nitratireducens],179,6,0,6,12,,,,,
GCF_000786775.1,WP_034410203.1,hypothetical protein [Candidatus Scalindua brodae],335,6,0,6,18,,,,,
GCF_000949635.1,WP_052561384.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],375,6,0,6,14,,,,,
GCF_000949635.1,WP_052562059.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],363,6,0,6,12,,,,,
GCF_000949635.1,WP_052564196.1,MULTISPECIES: hypothetical protein [Candidatus Brocadia],350,6,0,6,16,,,,,
GCF_000949635.1,WP_157842289.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Brocadia],439,6,0,6,14,,,,,
GCF_001273775.1,WP_053380978.1,cytochrome c3 family protein [Nitrospira moscoviensis],236,6,0,6,12,,,,,
GCF_001753675.2,WP_070066582.1,hypothetical protein [Candidatus Brocadia sapporoensis],350,6,0,6,16,,,,,
GCF_001753675.2,WP_070067858.1,multiheme c-type cytochrome [Candidatus Brocadia sapporoensis],363,6,0,6,12,,,,,
GCF_011066545.1,WP_099326587.1,MULTISPECIES: hypothetical protein [Candidatus Kuenenia],347,6,0,6,17,,,,,
GCF_011066545.1,WP_157820736.1,MULTISPECIES: multiheme c-type cytochrome [Candidatus Kuenenia],363,6,0,6,13,,,,,
GCF_011066545.1,WP_164995121.1,MULTISPECIES: hypothetical protein [Candidatus Kuenenia],183,0,6,6,16,,,,,
GCA_000005845.2,AAC74081.1,cytochrome c menaquinol dehydrogenase TorC [Escherichia coli str. K-12 substr. MG1655],390,5,0,5,10,,,,,
GCA_000005845.2,AAC74943.1,cytochrome c quinol dehydrogenase TorY [Escherichia coli str. K-12 substr. MG1655],366,5,0,5,10,,,,,
GCA_000005845.2,AAC77040.1,cytochrome c552 nitrite reductase [Escherichia coli str. K-12 substr. MG1655],478,4,1,5,10,,,,,
GCA_000005845.2,AAC77041.2,periplasmic nitrite reductase penta-heme c-type cytochrome [Escherichia coli str. K-12 substr. MG1655],188,5,0,5,10,,,,,
GCA_000006765.1,AAG07959.1,probable cytochrome c [Pseudomonas aeruginosa PAO1],675,5,0,5,12,,,,,
GCA_000007985.2,AAR35022.1,cytochrome c [Geobacter sulfurreducens PCA],270,5,0,5,10,,,,,
GCA_000007985.2,AAR36015.2,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],155,5,0,5,13,,,,,
GCA_000007985.2,AAR36097.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],157,5,0,5,11,,,,,
GCA_000007985.2,AAR36195.1,cytochrome c [Geobacter sulfurreducens PCA],488,5,0,5,12,,,,,
GCA_000007985.2,AAR36329.1,cytochrome c [Geobacter sulfurreducens PCA],324,5,0,5,13,,,,,
GCA_000007985.2,AAR36545.1,"cytochrome c nitrite and sulfite reductase, catalytic subunit lipoprotein [Geobacter sulfurreducens PCA]",490,4,1,5,11,,,,,
GCA_000007985.2,AAR36614.1,cytochrome c [Geobacter sulfurreducens PCA],195,5,0,5,13,,,,,
GCA_000019665.1,ACD84016.1,Cytochrome c3 [Methylacidiphilum infernorum V4],218,5,0,5,10,,,,,
GCA_000091165.1,CBE68331.1,conserved protein of unknown function [Candidatus Methylomirabilis oxygeniifera],418,5,0,5,10,,,,,
GCA_000146165.2,AAN54301.1,trimethylamine N-oxide reductase membrane anchored cytochrome c component TorC [Shewanella oneidensis MR-1],392,5,0,5,10,,,,,
GCA_000146165.2,AAN56954.1,ammonia-forming nitrite reductase NrfA [Shewanella oneidensis MR-1],467,4,1,5,10,,,,,
GCA_000214665.1,AEF98893.1,Dockerin type 1 protein [Methylomonas methanica MC09],882,5,0,5,14,,,,,
GCA_000297415.1,CCG92529.1,Cytochrome c3 [Methylacidiphilum fumariolicum SolV],218,5,0,5,10,,,,,
GCA_000685155.1,KCZ70397.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",434,4,1,5,10,,,,,
GCA_000685155.1,KCZ70799.1,hypothetical protein ANME2D_02824 [Candidatus Methanoperedens nitroreducens],430,5,0,5,10,,,,,
GCA_000685155.1,KCZ70802.1,hypothetical protein ANME2D_02827 [Candidatus Methanoperedens nitroreducens],403,5,0,5,10,,,,,
GCA_000685155.1,KCZ70815.1,hypothetical protein ANME2D_02840 [Candidatus Methanoperedens nitroreducens],2106,5,0,5,10,,,,,
GCA_000685155.1,KCZ70823.1,hypothetical protein ANME2D_02848 [Candidatus Methanoperedens nitroreducens],218,5,0,5,12,,,,,
GCA_000685155.1,KCZ71079.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",431,4,1,5,10,,,,,
GCA_000685155.1,KCZ71200.1,hypothetical protein ANME2D_03235 [Candidatus Methanoperedens nitroreducens],319,5,0,5,13,,,,,
GCA_000685155.1,KCZ71201.1,hypothetical protein ANME2D_03236 [Candidatus Methanoperedens nitroreducens],313,5,0,5,12,,,,,
GCA_000685155.1,KCZ72440.1,"Nitrate reductase cytochrome c-type subunit (NapB)/NapC/NirT cytochrome c family, N-terminal region [Candidatus Methanoperedens nitroreducens]",408,5,0,5,10,,,,,
GCA_000685155.1,KCZ73365.1,hypothetical protein ANME2D_00431 [Candidatus Methanoperedens nitroreducens],194,5,0,5,10,,,,,
GCA_000685155.1,KCZ73529.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",321,5,0,5,12,,,,,
GCA_000685155.1,KCZ73533.1,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit [Candidatus Methanoperedens nitroreducens]",325,5,0,5,12,,,,,
GCA_000685155.1,KCZ73595.1,hypothetical protein ANME2D_00666 [Candidatus Methanoperedens nitroreducens],1562,5,0,5,13,,,,,
GCA_000786775.1,KHE90392.1,MAG: putative cytochrome c [Candidatus Scalindua brodae],230,5,0,5,11,,,,,
GCA_000786775.1,KHE90667.1,MAG: putative cytochrome c [Candidatus Scalindua brodae],368,5,0,5,12,,,,,
GCA_000786775.1,KHE92298.1,MAG: putative heme protein [Candidatus Scalindua brodae],333,5,0,5,11,,,,,
GCA_000949635.1,GAN31711.1,hypothetical heme protein [Candidatus Brocadia sinica JPN1],337,5,0,5,18,,,,,
GCA_000949635.1,GAN31804.1,hypothetical protein BROSI_A0308 [Candidatus Brocadia sinica JPN1],180,0,5,5,17,,,,,
GCA_000949635.1,GAN31809.1,hypothetical protein BROSI_A0313 [Candidatus Brocadia sinica JPN1],180,0,5,5,16,,,,,
GCA_000949635.1,GAN31930.1,conserved hypothetical multiheme protein [Candidatus Brocadia sinica JPN1],347,5,0,5,16,,,,,
GCA_000949635.1,GAN31932.1,hypothetical heme protein [Candidatus Brocadia sinica JPN1],263,5,0,5,13,,,,,
GCA_000949635.1,GAN31976.1,hypothetical protein BROSI_A0480 [Candidatus Brocadia sinica JPN1],279,5,0,5,14,,,,,
GCA_000949635.1,GAN32091.1,hypothetical protein BROSI_A0595 [Candidatus Brocadia sinica JPN1],476,5,0,5,13,,,,,
GCA_000949635.1,GAN34263.1,hypothetical heme protein [Candidatus Brocadia sinica JPN1],326,5,0,5,17,,,,,
GCA_000949635.1,GAN34506.1,pentaheme protein [Candidatus Brocadia sinica JPN1],767,5,0,5,11,,,,,
GCA_000949635.1,GAN35163.1,formate-dependent nitrite reductase periplasmic cytochrome c552 subunit [Candidatus Brocadia sinica JPN1],488,5,0,5,11,,,,,
GCA_000949635.1,GAN35316.1,hypothetical protein BROSI_A3865 [Candidatus Brocadia sinica JPN1],178,0,5,5,16,,,,,
GCA_000968535.1,CCE23094.1,exported protein of unknown function [Methylotuvimicrobium alcaliphilum 20Z],231,5,0,5,10,,,,,
GCA_000968535.1,CCE25529.1,exported protein of unknown function [Methylotuvimicrobium alcaliphilum 20Z],758,5,0,5,11,,,,,
GCA_001273775.1,ALA59990.1,putative pentaheme cytochrome c [Nitrospira moscoviensis],426,5,0,5,12,,,,,
